Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2010,1,Jonas,Second Striker,Brazil,26,Grêmio Foot-Ball Porto Alegrense,33,23
2010,2,Neymar,Attacking Midfield,Brazil,18,Santos FC,31,17
2010,3,Bruno César,Central Midfield,Brazil,22,Sport Club Corinthians Paulista,31,14
2010,4,Elias,Attacking Midfield,Brazil,27,Atlético Clube Goianiense,26,12
2010,5,Obina,Centre-Forward,Brazil,27,Clube Atlético Mineiro,24,12
2010,6,André Lima,Centre-Forward,Brazil,25,N/A,25,11
2010,7,Sebastián Abreu,Centre-Forward,Uruguay,34,Botafogo de Futebol e Regatas,25,11
2010,8,Washington,Centre-Forward,Brazil,35,N/A,32,10
2010,9,Paulo Baier,Attacking Midfield,Brazil,36,Atlético Paranaense,31,10
2010,10,Zé Love,Centre-Forward,Brazil,23,Santos FC,28,10
2010,11,Kléber,Centre-Forward,Brazil,27,N/A,26,10
2010,12,Alecsandro,Centre-Forward,Brazil,29,Sport Club Internacional,20,10
2010,13,Wesley,Centre-Forward,Brazil,29,Grêmio Barueri Futebol Ltda.,27,10
2010,14,Diego Tardelli,Centre-Forward,Brazil,25,Clube Atlético Mineiro,27,10
2010,15,Darío Conca,Attacking Midfield,Argentina,27,Fluminense Football Club,38,9
2010,16,Juninho,Centre-Forward,Brazil,25,Atlético Clube Goianiense,30,9
2010,17,Magno Alves,Centre-Forward,Brazil,34,Ceará Sporting Club,21,9
2010,18,Éder Luís,Right Winger,Brazil,25,Clube de Regatas Vasco da Gama,27,9
2010,19,Rafael Moura,Centre-Forward,Brazil,27,Goiás EC,25,9
2010,20,Thiago Ribeiro,Left Winger,Brazil,24,Cruzeiro Esporte Clube,35,8
2010,21,Júnior,Centre-Forward,Brazil,34,Esporte Clube Vitória,31,8
2010,22,Caio,Attacking Midfield,Brazil,30,Avaí FC,27,8
2010,23,Iarley,Centre-Forward,Brazil,36,Sport Club Corinthians Paulista,33,8
2010,24,Geraldo,Attacking Midfield,Brazil,36,Ceará Sporting Club,33,8
2010,25,Emerson,Left Winger,Qatar,31,Fluminense Football Club,11,8
2011,1,Borges,Centre-Forward,Brazil,31,Santos FC,31,23
2011,2,Fred,Centre-Forward,Brazil,28,Fluminense Football Club,25,22
2011,3,Deivid,Centre-Forward,Brazil,32,CR Flamengo,33,15
2011,4,Ronaldinho,Left Winger,Brazil,31,CR Flamengo,31,14
2011,5,Leandro Damião,Centre-Forward,Brazil,22,Sport Club Internacional,28,14
2011,6,William,Centre-Forward,Brazil,28,Avaí FC,29,14
2011,7,Kempes,Centre-Forward,Brazil,29,América Futebol Clube (MG),32,13
2011,8,Neymar,Attacking Midfield,Brazil,19,Santos FC,21,13
2011,9,Sebastián Abreu,Centre-Forward,Uruguay,35,Botafogo de Futebol e Regatas,23,13
