Ano,Clube,Squad,Idade Media,Estrangeiros,Valor Medio,Valor Total
2010,CR Flamengo,58,24.0,6,€1.77m,€102.50m
2010,São Paulo Futebol Clube,46,24.2,2,€2.19m,€100.55m
2010,Sport Club Internacional,74,23.0,6,€1.18m,€87.65m
2010,Fluminense Football Club,61,23.4,6,€1.15m,€70.05m
2010,Santos FC,49,21.7,2,€1.41m,€69.20m
2010,Sociedade Esportiva Palmeiras,57,22.2,3,€1.10m,€62.50m
2010,Cruzeiro Esporte Clube,52,22.9,5,€1.07m,€55.40m
2010,Clube Atlético Mineiro,66,23.5,7,€830k,€54.80m
2010,Sport Club Corinthians Paulista,43,24.1,5,€1.20m,€51.63m
2010,Grêmio Foot-Ball Porto Alegrense,45,23.2,1,€1.01m,€45.30m
2010,Botafogo de Futebol e Regatas,62,23.0,4,€594k,€36.80m
2010,Atlético Paranaense,64,22.7,7,€545k,€34.90m
2010,Clube de Regatas Vasco da Gama,55,22.6,2,€584k,€32.10m
2010,Goiás EC,67,24.2,2,€439k,€29.40m
2010,Esporte Clube Vitória,85,22.4,2,€312k,€26.50m
2010,Grêmio Barueri Futebol Ltda.,60,22.5,0,€267k,€16.00m
2010,Ceará Sporting Club,73,25.1,1,€171k,€12.50m
2010,Guarani Futebol Clube (SP),58,23.9,0,€196k,€11.35m
2010,Atlético Clube Goianiense,50,25.0,0,€212k,€10.60m
2010,Avaí FC,51,22.6,0,€150k,€7.65m
2011,São Paulo Futebol Clube,56,22.9,3,€1.96m,€109.55m
2011,Sport Club Internacional,70,23.1,7,€1.35m,€94.75m
2011,Clube Atlético Mineiro,64,24.2,5,€1.41m,€90.50m
2011,Santos FC,68,22.2,4,€1.28m,€87.25m
2011,Cruzeiro Esporte Clube,52,23.4,6,€1.54m,€80.00m
2011,CR Flamengo,51,23.0,4,€1.55m,€79.05m
2011,Sport Club Corinthians Paulista,53,23.6,4,€1.49m,€79.00m
2011,Grêmio Foot-Ball Porto Alegrense,61,23.5,4,€1.23m,€75.30m
2011,Fluminense Football Club,51,23.8,6,€1.19m,€60.80m
2011,Sociedade Esportiva Palmeiras,49,23.4,2,€1.19m,€58.30m
2011,Clube de Regatas Vasco da Gama,54,23.6,2,€983k,€53.10m
2011,Avaí FC,91,23.7,1,€417k,€37.93m
2011,Botafogo de Futebol e Regatas,54,21.9,5,€617k,€33.30m
