Ano,Clube,Jogos,Vitorias,Empates,Derrotas,Gols,Saldo,Pontos
2010,Sport Club Corinthians Paulista,19,15,2,2,41:14,27,47
2010,Atlético Paranaense,19,12,6,1,27:16,11,42
2010,Fluminense Football Club,19,12,5,2,31:15,16,41
2010,Cruzeiro Esporte Clube,19,11,5,3,27:15,12,38
2010,Grêmio Foot-Ball Porto Alegrense,19,11,4,4,41:20,21,37
2010,Clube de Regatas Vasco da Gama,19,9,9,1,33:20,13,36
2010,Ceará Sporting Club,19,9,9,1,22:12,10,36
2010,Santos FC,19,10,5,4,32:16,16,35
2010,Sport Club Internacional,19,9,7,3,25:15,10,34
2010,Botafogo de Futebol e Regatas,19,8,10,1,32:19,13,34
2010,São Paulo Futebol Clube,19,10,3,6,31:27,4,33
2010,Avaí FC,19,9,5,5,34:20,14,32
2010,Guarani Futebol Clube (SP),19,7,9,3,17:15,2,30
2010,Sociedade Esportiva Palmeiras,19,8,5,6,26:23,3,29
2010,Esporte Clube Vitória,19,7,8,4,29:24,5,29
2010,Clube Atlético Mineiro,19,9,1,9,33:29,4,28
2010,Atlético Clube Goianiense,19,7,6,6,31:24,7,27
2010,CR Flamengo,19,6,9,4,24:19,5,27
2010,Goiás EC,19,5,5,9,20:29,-9,20
2010,Grêmio Barueri Futebol Ltda.,19,5,5,9,25:25,0,17
2011,Coritiba Foot Ball Club,19,13,4,2,40:13,27,43
2011,Sport Club Corinthians Paulista,19,13,2,4,32:19,13,41
2011,Clube de Regatas Vasco da Gama,19,11,7,1,32:12,20,40
2011,Botafogo de Futebol e Regatas,19,11,5,3,37:19,18,38
2011,Fluminense Football Club,19,12,0,7,36:24,12,36
2011,Sport Club Internacional,19,10,6,3,34:23,11,36
2011,Santos FC,19,10,5,4,31:20,11,35
2011,CR Flamengo,19,9,7,3,30:18,12,34
2011,Clube Atlético Mineiro,19,10,3,6,31:21,10,33
2011,São Paulo Futebol Clube,19,9,6,4,31:18,13,33
2011,Grêmio Foot-Ball Porto Alegrense,19,9,6,4,33:23,10,33
2011,Sociedade Esportiva Palmeiras,19,9,6,4,25:16,9,33
2011,Atlético Paranaense,19,8,8,3,23:18,5,32
2011,Atlético Clube Goianiense,19,9,3,7,25:14,11,30
2011,Figueirense Futebol Clube,19,8,6,5,23:20,3,30
2011,Cruzeiro Esporte Clube,19,8,5,6,31:23,8,29
2011,América Futebol Clube (MG),19,7,7,5,33:27,6,28
2011,Esporte Clube Bahia,19,7,7,5,26:23,3,28
2011,Ceará Sporting Club,19,7,5,7,31:25,6,26
2011,Avaí FC,19,4,7,8,26:31,-5,19
2012,São Paulo Futebol Clube,19,15,2,2,37:10,27,47
2012,Clube Atlético Mineiro,19,14,5,0,42:15,27,47
2012,Grêmio Foot-Ball Porto Alegrense,19,13,4,2,30:10,20,43
2012,Clube Náutico Capibaribe,19,13,3,3,31:13,18,42
2012,Fluminense Football Club,19,11,5,3,30:17,13,38
2012,Sport Club Corinthians Paulista,19,10,6,3,31:18,13,36
2012,Coritiba Foot Ball Club,19,11,2,6,33:19,14,35
2012,Associação Atlética Ponte Preta,19,9,7,3,22:14,8,34
2012,Santos FC,19,8,9,2,32:22,10,33
2012,Cruzeiro Esporte Clube,19,9,5,5,26:22,4,32
2012,CR Flamengo,19,8,8,3,23:18,5,32
2012,Botafogo de Futebol e Regatas,19,9,4,6,35:22,13,31
2012,Sport Club Internacional,19,9,4,6,28:19,9,31
2012,Clube de Regatas Vasco da Gama,19,9,4,6,28:27,1,31
2012,Portuguesa,19,7,8,4,25:14,11,29
2012,Sport Club do Recife,19,7,6,6,22:25,-3,27
2012,Esporte Clube Bahia,19,5,9,5,16:16,0,24
2012,Sociedade Esportiva Palmeiras,19,6,5,8,24:21,3,23
2012,Figueirense Futebol Clube,19,5,6,8,23:29,-6,21
2012,Atlético Clube Goianiense,19,5,3,11,21:30,-9,18
2013,Cruzeiro Esporte Clube,19,14,3,2,47:16,31,45
