Ano,Clube,Jogos,Vitorias,Empates,Derrotas,Gols,Saldo,Pontos
2010,Cruzeiro Esporte Clube,19,9,4,6,26:23,3,31
2010,Fluminense Football Club,19,8,6,5,31:21,10,30
2010,Grêmio Foot-Ball Porto Alegrense,19,6,8,5,27:23,4,26
2010,Botafogo de Futebol e Regatas,19,6,7,6,22:23,-1,25
2010,Sport Club Internacional,19,7,3,9,23:26,-3,24
2010,São Paulo Futebol Clube,19,5,7,7,23:27,-4,22
2010,Santos FC,19,5,6,8,31:34,-3,21
2010,Sport Club Corinthians Paulista,19,4,9,6,24:27,-3,21
2010,Sociedade Esportiva Palmeiras,19,4,9,6,16:20,-4,21
2010,Atlético Paranaense,19,5,3,11,16:29,-13,18
2010,Clube Atlético Mineiro,19,4,5,10,19:35,-16,17
2010,CR Flamengo,19,3,8,8,17:25,-8,17
2010,Atlético Clube Goianiense,19,4,3,12,20:33,-13,15
2010,Goiás EC,19,3,4,12,21:39,-18,13
2010,Esporte Clube Vitória,19,2,7,10,13:24,-11,13
2010,Clube de Regatas Vasco da Gama,19,2,7,10,10:25,-15,13
2010,Avaí FC,19,2,5,12,15:38,-23,11
2010,Ceará Sporting Club,19,1,8,10,13:32,-19,11
2010,Grêmio Barueri Futebol Ltda.,19,2,5,12,14:39,-25,8
2010,Guarani Futebol Clube (SP),19,1,4,14,16:38,-22,7
2011,Sport Club Corinthians Paulista,19,8,6,5,21:17,4,30
2011,Clube de Regatas Vasco da Gama,19,8,5,6,25:28,-3,29
2011,Figueirense Futebol Clube,19,7,7,5,23:25,-2,28
2011,Fluminense Football Club,19,8,3,8,24:27,-3,27
2011,CR Flamengo,19,6,9,4,29:29,0,27
2011,São Paulo Futebol Clube,19,7,5,7,26:28,-2,26
2011,Sport Club Internacional,19,6,6,7,23:20,3,24
2011,Santos FC,19,5,3,11,24:35,-11,18
2011,Botafogo de Futebol e Regatas,19,5,3,11,15:30,-15,18
2011,Esporte Clube Bahia,19,4,6,9,17:26,-9,18
2011,Atlético Clube Goianiense,19,3,9,7,25:31,-6,18
2011,Sociedade Esportiva Palmeiras,19,2,11,6,18:23,-5,17
2011,Grêmio Foot-Ball Porto Alegrense,19,4,3,12,16:34,-18,15
2011,Coritiba Foot Ball Club,19,3,5,11,17:28,-11,14
2011,Cruzeiro Esporte Clube,19,3,5,11,17:28,-11,14
2011,Ceará Sporting Club,19,3,4,12,16:39,-23,13
2011,Clube Atlético Mineiro,19,3,3,13,19:39,-20,12
2011,Avaí FC,19,3,3,13,19:44,-25,12
2011,Atlético Paranaense,19,2,3,14,15:37,-22,9
2011,América Futebol Clube (MG),19,1,6,12,18:42,-24,9
2012,Fluminense Football Club,19,11,6,2,31:16,15,39
2012,Grêmio Foot-Ball Porto Alegrense,19,7,7,5,26:23,3,28
2012,Clube de Regatas Vasco da Gama,19,7,6,6,17:17,0,27
2012,Clube Atlético Mineiro,19,6,7,6,22:22,0,25
2012,Botafogo de Futebol e Regatas,19,6,6,7,25:28,-3,24
2012,Esporte Clube Bahia,19,6,5,8,21:25,-4,23
2012,Sport Club Corinthians Paulista,19,5,6,8,20:21,-1,21
2012,Sport Club Internacional,19,4,9,6,16:21,-5,21
2012,Cruzeiro Esporte Clube,19,6,2,11,21:29,-8,20
2012,Santos FC,19,5,5,9,18:22,-4,20
2012,São Paulo Futebol Clube,19,5,4,10,22:27,-5,19
2012,CR Flamengo,19,4,6,9,16:28,-12,18
2012,Portuguesa,19,3,7,9,14:27,-13,16
2012,Sport Club do Recife,19,3,5,11,17:31,-14,14
2012,Associação Atlética Ponte Preta,19,3,5,11,15:30,-15,14
2012,Coritiba Foot Ball Club,19,3,4,12,20:41,-21,13
2012,Atlético Clube Goianiense,19,2,6,11,16:37,-21,12
2012,Sociedade Esportiva Palmeiras,19,3,2,14,15:33,-18,11
2012,Figueirense Futebol Clube,19,2,3,14,16:43,-27,9
2012,Clube Náutico Capibaribe,19,1,4,14,13:38,-25,7
2013,Cruzeiro Esporte Clube,19,9,4,6,30:21,9,31
2013,Grêmio Foot-Ball Porto Alegrense,19,6,7,6,18:23,-5,25
2013,Botafogo de Futebol e Regatas,19,6,5,8,25:27,-2,23
2013,São Paulo Futebol Clube,19,6,5,8,16:20,-4,23
2013,Goiás EC,19,6,5,8,21:28,-7,23
2013,Santos FC,19,5,5,9,23:25,-2,20
2013,Esporte Clube Vitória,19,5,5,9,27:33,-6,20
2013,Atlético Paranaense,19,5,5,9,26:32,-6,20
2013,Esporte Clube Bahia,19,5,5,9,17:28,-11,20
2013,Sport Club Internacional,19,4,8,7,21:28,-7,20
2013,Criciúma EC,19,5,3,11,23:38,-15,18
2013,Sport Club Corinthians Paulista,19,3,8,8,10:17,-7,17
2013,Fluminense Football Club,19,4,4,11,15:23,-8,16
2013,Associação Atlética Ponte Preta,19,3,6,10,18:29,-11,15
2013,Clube de Regatas Vasco da Gama,19,3,6,10,24:38,-14,15
2013,CR Flamengo,19,4,6,9,17:26,-9,14
2013,Coritiba Foot Ball Club,19,2,7,10,13:26,-13,13
2013,Clube Atlético Mineiro,19,2,7,10,8:23,-15,13
