Ano,Clube,Estadio,Capacidade,Publico_Total,Media_Publico
2010,Sport Club Corinthians Paulista,Neo Química Arena,49.205,521.534,27.449
2010,Ceará Sporting Club,Estádio Plácido Aderaldo Castelo,63.903,446.869,23.519
2010,Fluminense Football Club,Estádio Jornalista Mário Filho,82.238,437.434,23.023
2010,Grêmio Foot-Ball Porto Alegrense,Arena do Grêmio,60.540,395.536,20.818
2010,CR Flamengo,Estádio Jornalista Mário Filho,82.238,363.575,19.136
2010,Botafogo de Futebol e Regatas,Estádio Olímpico Nilton Santos,46.931,353.087,18.584
2010,Sport Club Internacional,Estádio Beira-Rio,50.848,322.829,16.991
2010,Cruzeiro Esporte Clube,Estádio Governador Magalhães Pinto,61.927,305.689,16.089
2010,Esporte Clube Vitória,Estádio Manoel Barradas,30.618,297.103,15.637
2010,,Ligga Arena,42.372,296.583,15.610
2010,São Paulo Futebol Clube,MorumBIS,72.039,278.985,14.683
2010,Clube de Regatas Vasco da Gama,Estádio São Januário,24.584,259.347,13.650
2010,Clube Atlético Mineiro,Arena MRV,46.000,255.466,13.446
2010,Sociedade Esportiva Palmeiras,Allianz Parque,43.713,208.439,10.970
2010,Avaí FC,Estádio Aderbal Ramos da Silva,17.800,181.649,9.560
2010,Santos FC,Estádio Urbano Caldeira,16.068,175.755,9.250
2010,Goiás EC,Estádio de Hailé Pinheiro,14.525,151.390,7.968
2010,,Estádio Antonio Accioly,13.000,149.924,7.891
2010,Guarani Futebol Clube (SP),Estádio Brinco de Ouro da Princesa,20.580,147.040,7.739
2010,Grêmio Barueri Futebol Ltda.,Arena Barueri,32.500,85.572,4.754
2011,Sport Club Corinthians Paulista,Neo Química Arena,49.205,560.254,29.487
2011,Esporte Clube Bahia,Arena Fonte Nova,47.364,432.087,22.741
2011,São Paulo Futebol Clube,MorumBIS,72.039,408.052,21.476
2011,CR Flamengo,Estádio Jornalista Mário Filho,82.238,360.976,20.054
2011,Sport Club Internacional,Estádio Beira-Rio,50.848,345.565,18.188
2011,Coritiba Foot Ball Club,Estádio Major Antônio Couto Pereira,40.502,343.554,18.082
2011,Clube de Regatas Vasco da Gama,Estádio São Januário,24.584,320.895,16.889
2011,Grêmio Foot-Ball Porto Alegrense,Arena do Grêmio,60.540,312.276,16.436
2011,Botafogo de Futebol e Regatas,Estádio Olímpico Nilton Santos,46.931,303.607,15.979
2011,Fluminense Football Club,Estádio Jornalista Mário Filho,82.238,280.087,14.741
2011,Clube Atlético Mineiro,Arena MRV,46.000,267.903,14.100
2011,Ceará Sporting Club,Estádio Plácido Aderaldo Castelo,63.903,256.403,13.495
2011,,Ligga Arena,42.372,255.346,14.186
2011,Sociedade Esportiva Palmeiras,Allianz Parque,43.713,241.140,12.692
2011,Figueirense Futebol Clube,Estádio Orlando Scarpelli,19.908,218.002,11.474
2011,Cruzeiro Esporte Clube,Estádio Governador Magalhães Pinto,61.927,197.155,10.377
2011,,Estádio Antonio Accioly,13.000,180.444,9.497
2011,Santos FC,Estádio Urbano Caldeira,16.068,168.949,8.892
2011,Avaí FC,Estádio Aderbal Ramos da Silva,17.800,128.908,6.785
2011,América Futebol Clube (MG),Estádio Raimundo Sampaio,25.000,91.792,4.831
2012,Sport Club Corinthians Paulista,Neo Química Arena,49.205,479.226,25.222
2012,Grêmio Foot-Ball Porto Alegrense,Arena do Grêmio,60.540,465.299,24.489
2012,São Paulo Futebol Clube,MorumBIS,72.039,461.659,24.298
2012,Esporte Clube Bahia,Arena Fonte Nova,47.364,360.634,18.981
2012,Clube Atlético Mineiro,Arena MRV,46.000,347.204,18.274
2012,Sport Club do Recife,Estádio Adelmar da Costa Carvalho,35.000,338.412,17.811
2012,CR Flamengo,Estádio Jornalista Mário Filho,82.238,298.502,15.711
2012,Fluminense Football Club,Estádio Jornalista Mário Filho,82.238,298.483,15.710
2012,Clube Náutico Capibaribe,Estádio Eládio de Barros Carvalho,19.800,274.862,14.466
2012,Coritiba Foot Ball Club,Estádio Major Antônio Couto Pereira,40.502,240.311,12.648
2012,Sociedade Esportiva Palmeiras,Allianz Parque,43.713,227.679,11.983
2012,Cruzeiro Esporte Clube,Estádio Governador Magalhães Pinto,61.927,221.867,11.677
2012,Botafogo de Futebol e Regatas,Estádio Olímpico Nilton Santos,46.931,211.529,11.133
2012,Clube de Regatas Vasco da Gama,Estádio São Januário,24.584,201.329,10.596
2012,Sport Club Internacional,Estádio Beira-Rio,50.848,180.376,9.493
2012,Santos FC,Estádio Urbano Caldeira,16.068,154.049,8.108
2012,Figueirense Futebol Clube,Estádio Orlando Scarpelli,19.908,151.988,7.999
2012,Associação Atlética Ponte Preta,Estádio Moisés Lucarelli,19.728,118.618,6.243
2012,,Estádio Antonio Accioly,13.000,106.149,5.587
2012,Portuguesa,Estádio Doutor Osvaldo Texeira Duarte,21.004,80.490,4.236
2013,Cruzeiro Esporte Clube,Estádio Governador Magalhães Pinto,61.927,549.217,28.906
2013,CR Flamengo,Estádio Jornalista Mário Filho,82.238,506.393,26.652
2013,Sport Club Corinthians Paulista,Neo Química Arena,49.205,464.376,24.441
