Ano,Ranking,Jogador,Clube,Jogos_Disputados,Jogos_Sem_Sofrer_Gol,Porcentagem
2010,1,Fábio,Cruzeiro Esporte Clube,36,16,44.4 %
2010,2,Victor,Grêmio Foot-Ball Porto Alegrense,35,13,37.1 %
2010,3,Renan Soares,Sport Club Internacional,24,12,50.0 %
2010,4,Rafael Cabral,Santos FC,32,12,37.5 %
2010,5,Jefferson,Botafogo de Futebol e Regatas,36,12,33.3 %
2010,6,Júlio César,Sport Club Corinthians Paulista,31,11,35.5 %
2010,7,Neto,Club Athletico Paranaense,34,11,32.4 %
2010,8,Fernando Prass,Clube de Regatas Vasco da Gama,38,11,28.9 %
2010,9,Rogério Ceni,São Paulo Futebol Clube,38,10,26.3 %
2010,10,Diego,Ceará Sporting Club,17,9,52.9 %
2010,11,Marcelo Lomba,CR Flamengo,30,8,26.7 %
2010,12,Douglas,Guarani Futebol Clube (SP),24,7,29.2 %
2010,13,Julián Viáfara,Esporte Clube Vitória,25,7,28.0 %
2010,14,Márcio,Atlético Clube Goianiense,35,7,20.0 %
2010,15,Marcos,Sociedade Esportiva Palmeiras,13,6,46.2 %
2010,16,Ricardo Berna,Fluminense Football Club,9,5,55.6 %
2010,17,Fernando Henrique,Fluminense Football Club,17,5,29.4 %
2010,18,Michel Alves,Ceará Sporting Club,21,5,23.8 %
2010,19,Deola,Sociedade Esportiva Palmeiras,22,5,22.7 %
2010,20,Giovanni,Grêmio Barueri Futebol Ltda.,25,5,20.0 %
2010,21,Renan Ribeiro,Clube Atlético Mineiro,14,4,28.6 %
2010,22,Zé Carlos,Avaí FC,16,4,25.0 %
2010,23,Renan,Avaí FC,24,4,16.7 %
2010,24,Harlei,Goiás EC,26,4,15.4 %
2010,25,Márcio Aguiar,Grêmio Barueri Futebol Ltda.,8,3,37.5 %
2011,1,Fernando Prass,Clube de Regatas Vasco da Gama,38,16,42.1 %
2011,2,Júlio César,Sport Club Corinthians Paulista,33,13,39.4 %
2011,3,Felipe,CR Flamengo,35,12,34.3 %
2011,4,Rogério Ceni,São Paulo Futebol Clube,36,11,30.6 %
2011,5,Vanderlei,Coritiba Foot Ball Club,20,10,50.0 %
2011,6,Muriel,Sport Club Internacional,34,10,29.4 %
2011,7,Wilson,Figueirense Futebol Clube,36,10,27.8 %
2011,8,Fábio,Cruzeiro Esporte Clube,34,9,26.5 %
2011,9,Márcio,Atlético Clube Goianiense,38,9,23.7 %
2011,10,Renan Ribeiro,Clube Atlético Mineiro,28,8,28.6 %
2011,11,Jefferson,Botafogo de Futebol e Regatas,30,8,26.7 %
2011,12,Marcelo Lomba,Esporte Clube Bahia,33,8,24.2 %
2011,13,Marcos,Sociedade Esportiva Palmeiras,19,7,36.8 %
2011,14,Renan Rocha,Club Athletico Paranaense,32,7,21.9 %
2011,15,Rafael Cabral,Santos FC,32,7,21.9 %
2011,16,Victor,Grêmio Foot-Ball Porto Alegrense,32,7,21.9 %
2011,17,Diego Cavalieri,Fluminense Football Club,34,7,20.6 %
2011,18,Felipe Garcia,Avaí FC,27,6,22.2 %
2011,19,Deola,Sociedade Esportiva Palmeiras,19,5,26.3 %
2011,20,Neneca,América Futebol Clube (MG),27,5,18.5 %
2011,21,Édson Bastos,Coritiba Foot Ball Club,18,4,22.2 %
2011,22,Fernando Henrique,Ceará Sporting Club,23,4,17.4 %
2011,23,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,6,3,50.0 %
2011,24,Diego,Ceará Sporting Club,15,3,20.0 %
2011,25,Roberto,Atlético Clube Goianiense,2,2,100.0 %
2012,1,Victor,Grêmio Foot-Ball Porto Alegrense,35,14,40.0 %
2012,2,Diego Cavalieri,Fluminense Football Club,35,13,37.1 %
2012,3,Marcelo Lomba,Esporte Clube Bahia,36,13,36.1 %
2012,4,Édson Bastos,Associação Atlética Ponte Preta,30,12,40.0 %
2012,5,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,32,12,37.5 %
2012,6,Dida,Portuguesa,32,12,37.5 %
2012,7,Fábio,Cruzeiro Esporte Clube,37,12,32.4 %
2012,8,Muriel,Sport Club Internacional,38,12,31.6 %
2012,9,Cássio,Sport Club Corinthians Paulista,32,11,34.4 %
2012,10,Fernando Prass,Clube de Regatas Vasco da Gama,37,11,29.7 %
2012,11,Jefferson,Botafogo de Futebol e Regatas,30,10,33.3 %
2012,12,Vanderlei,Coritiba Foot Ball Club,36,10,27.8 %
2012,13,Rogério Ceni,São Paulo Futebol Clube,24,9,37.5 %
2012,14,Gideão,Clube Náutico Capibaribe,17,8,47.1 %
2012,15,Felipe,CR Flamengo,20,8,40.0 %
2012,16,Felipe Garcia,Clube Náutico Capibaribe,21,8,38.1 %
2012,17,Rafael Cabral,Santos FC,25,8,32.0 %
2012,18,Bruno Cardoso,Sociedade Esportiva Palmeiras,34,6,17.6 %
2012,19,Saulo,Sport Club do Recife,12,5,41.7 %
2012,20,Denis,São Paulo Futebol Clube,14,5,35.7 %
2012,21,Giovanni,Clube Atlético Mineiro,9,4,44.4 %
2012,22,Aranha,Santos FC,13,4,30.8 %
2012,23,Paulo Victor,CR Flamengo,19,4,21.1 %
2012,24,Wilson,Figueirense Futebol Clube,28,4,14.3 %
2012,25,Magrão,Sport Club do Recife,26,3,11.5 %
2013,1,Cássio,Sport Club Corinthians Paulista,29,17,58.6 %
2013,2,Dida,Grêmio Foot-Ball Porto Alegrense,37,16,43.2 %
2013,3,Fábio,Cruzeiro Esporte Clube,36,15,41.7 %
2013,4,Victor,Clube Atlético Mineiro,29,13,44.8 %
2013,5,Marcelo Lomba,Esporte Clube Bahia,37,13,35.1 %
2013,6,Rogério Ceni,São Paulo Futebol Clube,35,12,34.3 %
2013,7,Aranha,Santos FC,32,11,34.4 %
2013,8,Renan Soares,Goiás EC,36,11,30.6 %
2013,9,Lauro,Portuguesa,32,10,31.3 %
2013,10,Muriel,Sport Club Internacional,32,10,31.3 %
2013,11,Vanderlei,Coritiba Foot Ball Club,36,10,27.8 %
2013,12,Weverton,Club Athletico Paranaense,38,10,26.3 %
2013,13,Felipe,CR Flamengo,25,8,32.0 %
2013,14,Jefferson,Botafogo de Futebol e Regatas,26,7,26.9 %
2013,15,Wilson,Esporte Clube Vitória,38,7,18.4 %
2013,16,Roberto Volpato,Associação Atlética Ponte Preta,30,6,20.0 %
2013,17,Walter,Sport Club Corinthians Paulista,8,5,62.5 %
2013,18,Gideão,Clube Náutico Capibaribe,11,5,45.5 %
2013,19,Diogo Silva,Clube de Regatas Vasco da Gama,22,5,22.7 %
2013,20,Diego Cavalieri,Fluminense Football Club,29,5,17.2 %
2013,21,Renan,Botafogo de Futebol e Regatas,11,4,36.4 %
2013,22,Ricardo Berna,Fluminense Football Club,30,4,13.3 %
2013,23,Giovanni,Clube Atlético Mineiro,10,3,30.0 %
2013,24,Paulo Victor,CR Flamengo,13,3,23.1 %
2013,25,Galatto,Criciúma EC,17,3,17.6 %
2014,1,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,35,19,54.3 %
2014,2,Cássio,Sport Club Corinthians Paulista,35,15,42.9 %
2014,3,Renan Soares,Goiás EC,35,14,40.0 %
2014,4,Magrão,Sport Club do Recife,38,14,36.8 %
2014,5,Dida,Sport Club Internacional,27,13,48.1 %
2014,6,Rogério Ceni,São Paulo Futebol Clube,35,13,37.1 %
2014,7,Danilo,Associação Chapecoense de Futebol,37,13,35.1 %
2014,8,Vanderlei,Coritiba Foot Ball Club,38,13,34.2 %
2014,9,Diego Cavalieri,Fluminense Football Club,32,12,37.5 %
2014,10,Aranha,Santos FC,33,12,36.4 %
2014,11,Victor,Clube Atlético Mineiro,32,11,34.4 %
2014,12,Weverton,Club Athletico Paranaense,35,11,31.4 %
2014,13,Fábio,Cruzeiro Esporte Clube,36,11,30.6 %
2014,14,Marcelo Lomba,Esporte Clube Bahia,37,11,29.7 %
2014,15,Tiago Volpi,Figueirense Futebol Clube,37,11,29.7 %
2014,16,Paulo Victor,CR Flamengo,29,10,34.5 %
2014,17,Luiz,Criciúma EC,15,7,46.7 %
2014,18,Fábio,Sociedade Esportiva Palmeiras,18,6,33.3 %
2014,19,Jefferson,Botafogo de Futebol e Regatas,27,6,22.2 %
2014,20,Wilson,Esporte Clube Vitória,24,5,20.8 %
2014,21,Vladimir,Santos FC,5,3,60.0 %
2014,22,Helton Leite,Botafogo de Futebol e Regatas,3,2,66.7 %
2014,23,Tiago Machowski,Grêmio Foot-Ball Porto Alegrense,3,2,66.7 %
2014,24,Édson,Goiás EC,3,2,66.7 %
2014,25,Galatto,Criciúma EC,3,2,66.7 %
2015,1,Alisson,Sport Club Internacional,26,15,57.7 %
2015,2,Cássio,Sport Club Corinthians Paulista,35,15,42.9 %
2015,3,Danilo Fernandes,Sport Club do Recife,36,15,41.7 %
2015,4,Weverton,Club Athletico Paranaense,36,14,38.9 %
2015,5,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,24,13,54.2 %
2015,6,Wilson,Coritiba Foot Ball Club,27,13,48.1 %
2015,7,Danilo,Associação Chapecoense de Futebol,33,12,36.4 %
2015,8,Fábio,Cruzeiro Esporte Clube,36,12,33.3 %
2015,9,Marcelo Lomba,Associação Atlética Ponte Preta,37,12,32.4 %
2015,10,Vanderlei,Santos FC,28,11,39.3 %
2015,11,Renan Soares,Goiás EC,35,11,31.4 %
2015,12,Diego Cavalieri,Fluminense Football Club,35,11,31.4 %
2015,13,Victor,Clube Atlético Mineiro,38,11,28.9 %
2015,14,Rogério Ceni,São Paulo Futebol Clube,23,10,43.5 %
2015,15,Agenor,Joinville Esporte Clube (SC),32,10,31.3 %
2015,16,Alex Muralha,Figueirense Futebol Clube,35,9,25.7 %
2015,17,Martín Silva,Clube de Regatas Vasco da Gama,21,8,38.1 %
2015,18,Fernando Prass,Sociedade Esportiva Palmeiras,36,8,22.2 %
2015,19,Paulo Victor,CR Flamengo,25,6,24.0 %
2015,20,Muriel,Sport Club Internacional,13,5,38.5 %
2015,21,Vagner,Avaí FC,33,5,15.2 %
2015,22,César,CR Flamengo,13,4,30.8 %
2015,23,Walter,Sport Club Corinthians Paulista,4,3,75.0 %
2015,24,Nivaldo,Associação Chapecoense de Futebol,5,3,60.0 %
2015,25,Renan Ribeiro,São Paulo Futebol Clube,9,3,33.3 %
2016,1,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,28,15,53.6 %
2016,2,Weverton,Club Athletico Paranaense,30,14,46.7 %
2016,3,Sidão,Botafogo de Futebol e Regatas,32,14,43.8 %
2016,4,Vanderlei,Santos FC,37,14,37.8 %
2016,5,Wilson,Coritiba Foot Ball Club,37,14,37.8 %
2016,6,Alex Muralha,CR Flamengo,33,13,39.4 %
2016,7,Denis,São Paulo Futebol Clube,37,12,32.4 %
2016,8,Diego Cavalieri,Fluminense Football Club,23,11,47.8 %
2016,9,Walter,Sport Club Corinthians Paulista,19,10,52.6 %
2016,10,Danilo,Associação Chapecoense de Futebol,31,10,32.3 %
2016,11,Magrão,Sport Club do Recife,34,10,29.4 %
2016,12,Jailson,Sociedade Esportiva Palmeiras,19,9,47.4 %
2016,13,Roberto Fernández,Figueirense Futebol Clube,28,9,32.1 %
2016,14,Victor,Clube Atlético Mineiro,32,9,28.1 %
