Ano,Posicao,Clube,Jogos,Vitorias,Empates,Derrotas,Gols,Saldo,Pontos
2010,1,Fluminense Football Club,38,20,11,7,62:36,26,71
2010,2,Cruzeiro Esporte Clube,38,20,9,9,53:38,15,69
2010,3,Sport Club Corinthians Paulista,38,19,11,8,65:41,24,68
2010,4,Grêmio Foot-Ball Porto Alegrense,38,17,12,9,68:43,25,63
2010,5,Atlético Paranaense,38,17,9,12,43:45,-2,60
2010,6,Botafogo de Futebol e Regatas,38,14,17,7,54:42,12,59
2010,7,Sport Club Internacional,38,16,10,12,48:41,7,58
2010,8,Santos FC,38,15,11,12,63:50,13,56
2010,9,São Paulo Futebol Clube,38,15,10,13,54:54,0,55
2010,10,Sociedade Esportiva Palmeiras,38,12,14,12,42:43,-1,50
2010,11,Clube de Regatas Vasco da Gama,38,11,16,11,43:45,-2,49
2010,12,Ceará Sporting Club,38,10,17,11,35:44,-9,47
2010,13,Clube Atlético Mineiro,38,13,6,19,52:64,-12,45
2010,14,CR Flamengo,38,9,17,12,41:44,-3,44
2010,15,Avaí FC,38,11,10,17,49:58,-9,43
2010,16,Atlético Clube Goianiense,38,11,9,18,51:57,-6,42
2010,17,Esporte Clube Vitória,38,9,15,14,42:48,-6,42
2010,18,Guarani Futebol Clube (SP),38,8,13,17,33:53,-20,37
2010,19,Goiás EC,38,8,9,21,41:68,-27,33
2010,20,Grêmio Barueri Futebol Ltda.,38,7,10,21,39:64,-25,28
2011,1,Sport Club Corinthians Paulista,38,21,8,9,53:36,17,71
2011,2,Clube de Regatas Vasco da Gama,38,19,12,7,57:40,17,69
2011,3,Fluminense Football Club,38,20,3,15,60:51,9,63
2011,4,CR Flamengo,38,15,16,7,59:47,12,61
2011,5,Sport Club Internacional,38,16,12,10,57:43,14,60
2011,6,São Paulo Futebol Clube,38,16,11,11,57:46,11,59
2011,7,Figueirense Futebol Clube,38,15,13,10,46:45,1,58
2011,8,Coritiba Foot Ball Club,38,16,9,13,57:41,16,57
2011,9,Botafogo de Futebol e Regatas,38,16,8,14,52:49,3,56
2011,10,Santos FC,38,15,8,15,55:55,0,53
2011,11,Sociedade Esportiva Palmeiras,38,11,17,10,43:39,4,50
2011,12,Grêmio Foot-Ball Porto Alegrense,38,13,9,16,49:57,-8,48
