Ano,Data_Referencia,Clube,Valor_Mercado_Data,Valor_Mercado_Atual
2010,2010-12-01,Sociedade Esportiva Palmeiras,€40.90m,€212.15m
2010,2010-12-01,CR Flamengo,€33.25m,€195.90m
2010,2010-12-01,Botafogo de Futebol e Regatas,€25.55m,€138.35m
2010,2010-12-01,Cruzeiro Esporte Clube,€45.60m,€125.65m
2010,2010-12-01,Sport Club Corinthians Paulista,€41.05m,€110.45m
2010,2010-12-01,Clube de Regatas Vasco da Gama,€25.65m,€108.15m
2010,2010-12-01,Esporte Clube Bahia,-,€103.50m
2010,2010-12-01,Clube Atlético Mineiro,€30.85m,€97.40m
2010,2010-12-01,Fluminense Football Club,€42.00m,€94.10m
2010,2010-12-01,Red Bull Bragantino,-,€90.70m
2010,2010-12-01,São Paulo Futebol Clube,€50.20m,€89.85m
2010,2010-12-01,Grêmio Foot-Ball Porto Alegrense,€38.65m,€86.45m
2010,2010-12-01,Sport Club Internacional,€43.50m,€86.00m
2010,2010-12-01,Santos FC,€52.05m,€82.80m
2010,2010-12-01,Fortaleza Esporte Clube,€4.05m,€47.18m
2010,2010-12-01,Sport Club do Recife,-,€39.50m
2010,2010-12-01,Ceará Sporting Club,€12.90m,€32.85m
2010,2010-12-01,Esporte Clube Vitória,€16.40m,€32.15m
2010,2010-12-01,Esporte Clube Juventude,€2.90m,€23.20m
2010,2010-12-01,Mirassol Futebol Clube (SP),€1.68m,€22.53m
2011,2011-12-01,Sociedade Esportiva Palmeiras,€33.20m,€212.15m
2011,2011-12-01,CR Flamengo,€44.05m,€195.90m
2011,2011-12-01,Botafogo de Futebol e Regatas,€30.50m,€138.35m
2011,2011-12-01,Cruzeiro Esporte Clube,€34.10m,€125.65m
2011,2011-12-01,Sport Club Corinthians Paulista,€39.65m,€110.45m
2011,2011-12-01,Clube de Regatas Vasco da Gama,€28.45m,€108.15m
2011,2011-12-01,Esporte Clube Bahia,€11.80m,€103.50m
2011,2011-12-01,Clube Atlético Mineiro,€29.55m,€97.40m
2011,2011-12-01,Fluminense Football Club,€40.45m,€94.10m
2011,2011-12-01,Red Bull Bragantino,-,€90.70m
2011,2011-12-01,São Paulo Futebol Clube,€64.45m,€89.85m
2011,2011-12-01,Grêmio Foot-Ball Porto Alegrense,€40.40m,€86.45m
2011,2011-12-01,Sport Club Internacional,€46.10m,€86.00m
2011,2011-12-01,Santos FC,€93.85m,€82.80m
2011,2011-12-01,Fortaleza Esporte Clube,€950k,€47.18m
2011,2011-12-01,Sport Club do Recife,-,€39.50m
2011,2011-12-01,Ceará Sporting Club,€13.00m,€32.85m
2011,2011-12-01,Esporte Clube Vitória,-,€32.15m
2011,2011-12-01,Esporte Clube Juventude,€150k,€23.20m
2011,2011-12-01,Mirassol Futebol Clube (SP),-,€22.53m
2012,2012-12-01,Sociedade Esportiva Palmeiras,€33.70m,€212.15m
2012,2012-12-01,CR Flamengo,€33.85m,€195.90m
2012,2012-12-01,Botafogo de Futebol e Regatas,€27.25m,€138.35m
2012,2012-12-01,Cruzeiro Esporte Clube,€33.70m,€125.65m
2012,2012-12-01,Sport Club Corinthians Paulista,€42.05m,€110.45m
2012,2012-12-01,Clube de Regatas Vasco da Gama,€29.65m,€108.15m
2012,2012-12-01,Esporte Clube Bahia,€13.90m,€103.50m
2012,2012-12-01,Clube Atlético Mineiro,€39.75m,€97.40m
